objid_1,ra_1,dec_1,raErr,decErr,zph,zphErr,clean,u,g,r,i,z_1,u_err,g_err,r_err,i_err,z_err,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,bestobjid,ra_spec,dec_spec,zsp,zspErr,veldisp,veldisperr,subclass,instrument,survey,programname,class,ssfr_mean_1,age_1,age_mean_1,ssfr_1,z_sf_1,specObjID_1,ra_2,dec_2,z_noqso,ssfr_mean_2,age_2,age_mean_2,ssfr_2,z_sf_2,z_2,specObjID_2,objid_2,Column1,logMass,logMass_err,logMass_min,logMass_max,logMass_median,Source_id,Isl_id,RA,E_RA,DEC,E_DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,RA_max,E_RA_max,DEC_max,E_DEC_max,Maj,E_Maj,Min,E_Min,PA,E_PA,Maj_img_plane,E_Maj_img_plane,Min_img_plane,E_Min_img_plane,PA_img_plane,E_PA_img_plane,DC_Maj,E_DC_Maj,DC_Min,E_DC_Min,DC_PA,E_DC_PA,DC_Maj_img_plane,E_DC_Maj_img_plane,DC_Min_img_plane,E_DC_Min_img_plane,DC_PA_img_plane,E_DC_PA_img_plane,Isl_Total_flux,E_Isl_Total_flux,Isl_rms,Isl_mean,Resid_Isl_rms,Resid_Isl_mean,S_Code,Separation
1237663278462665622,355.561142055448,0.994124915724168,0.105079284682604,0.111775878183433,0.801496,0.040665,1,21.46052,23.97765,21.76292,20.36,19.84134,0.3138956,0.5809206,0.111428,0.08350001,0.1568256,0.1200401,0.09353441,0.06470668,0.04808399,0.03576566,1237663278462665622,355.56114,0.99412494,0.6771384,0.0002402958,305.7727,57.6881,null,BOSS,eboss,eboss,GALAXY,null,null,null,null,null,null,355.56114,0.99412494,0.6771292,-11.9707530251751,5.13963842391968,5.68339549121583,-33.0,0.6771292,0.6771292,6918849371354886144,1237663278462665622,0.6771292,11.9330907864889,0.0985013282867391,11.8824936786044,12.0666556539646,11.9697204394944,2820,2761,355.56132432389484,2.5154345926485658E-5,0.9942444112056662,2.437091342381308E-5,3.901745640620565E-4,1.8255441517656522E-5,3.622590456792965E-4,1.0008051329166911E-5,355.56132432389484,2.5154345926485658E-5,0.9942444112056662,2.437091342381308E-5,0.0022073408313846806,6.443844340830654E-5,0.0019689558036682783,5.147790863201281E-5,130.8694068695306,10.356256958321834,0.0022073315158242196,6.443844340830654E-5,0.0019687945328661794,5.147790863201281E-5,130.87555273287495,10.356256958321834,0.0,6.443844340830654E-5,0.0,5.147790863201281E-5,0.0,10.356256958321834,0.0,6.443844340830654E-5,0.0,5.147790863201281E-5,0.0,10.356256958321834,3.495451388553105E-4,1.7395970366399143E-5,9.858281373453792E-6,-7.322335022763582E-7,7.856749107304495E-6,-2.1023106455686502E-7,S,0.7845271058292552
1237663278462927438,356.140335125536,0.901103682589506,0.046469968571022,0.0443160345919353,0.553209,0.030575,0,23.17034,21.32627,20.42432,19.50268,18.65676,0.5894887,0.1100431,0.04491251,0.03053627,0.0733637,0.1115338,0.0869064,0.06012145,0.04467668,0.03323124,1237663278462927438,356.14033,0.90110498,0.5683628,0.0001115529,244.2062,34.33524,null,BOSS,boss,boss,GALAXY,null,null,null,null,null,null,356.14033,0.90110498,0.5683628,-11.6793142022806,5.07166004180908,6.28564309722907,-2.99856162071228,0.5683628,0.5683628,7327584302278569984,1237663278462927438,0.5683628,12.0101039790483,0.112059330062462,11.9000435623151,12.1036593241369,11.9991861174605,1283,1241,356.14045648087057,2.990551777604736E-4,0.9008199203659273,1.2244610994352508E-4,1.483740055898534E-4,3.536886534238796E-5,7.943597765654837E-5,1.291751919591737E-5,356.14045648087057,2.990551777604736E-4,0.9008199203659273,1.2244610994352508E-4,0.0035949930022924665,7.068081015954666E-4,0.0020965035939816447,2.8197842672315486E-4,95.33212357664084,16.518175795177555,0.003594950993375238,7.068081015954666E-4,0.0020964081798920085,2.8197842672315486E-4,95.32858460067564,16.518175795177555,0.0,7.068081015954666E-4,0.0,2.8197842672315486E-4,0.0,16.518175795177555,0.0,7.068081015954666E-4,0.0,2.8197842672315486E-4,0.0,16.518175795177555,1.1690596006428922E-4,1.9443982611469435E-5,1.24725347632193E-5,-9.683295729701058E-7,1.2239396710356232E-5,3.3881553918035934E-6,S,1.1110213331431738
1237656909038027293,356.764076239118,1.13438507055982,0.123371673731776,0.0713779961651661,0.570892,0.030168,1,23.38948,22.24984,20.36911,19.41262,18.77088,0.594409,0.2914427,0.07667838,0.05071835,0.1437813,0.1116923,0.0870299,0.06020688,0.04474017,0.03327847,1237656909038027293,356.76408,1.134382,0.5640422,0.0001030759,111.2592,29.52602,null,BOSS,boss,boss,GALAXY,null,null,null,null,null,null,356.76408,1.134382,0.5640422,-3.14661819339233,6.02130603790283,5.44237318650665,-1.80716907978058,0.5640422,0.5640422,4708535217139937280,1237656909038027293,0.5640422,11.9208155826306,0.0949229452333899,11.7107941439585,11.9020048568353,11.8079337813174,189,184,356.76421298008694,2.696628597223081E-7,1.1345069376995067,1.0031693565969177E-6,0.03716208468180155,3.9156094033194116E-5,0.029212813580708243,1.6124915418913588E-5,356.7644003232458,2.696628597223081E-7,1.1342861432815512,1.0031693565969177E-6,0.0030870206833043434,2.3694629308232943E-6,0.0015233920917921916,6.076696374086985E-7,85.40068562846764,0.04273098895240368,0.003086733689805865,2.3694629308232943E-6,0.0015232166823640576,6.076696374086985E-7,85.38387568381512,0.04273098895240368,0.0,2.3694629308232943E-6,0.0,6.076696374086985E-7,0.0,0.04273098895240368,0.0,2.3694629308232943E-6,0.0,6.076696374086985E-7,0.0,0.04273098895240368,0.028621301694798745,1.06372720355467E-4,1.6124915418913588E-5,6.956513232125872E-8,2.651333634275943E-4,6.654635217273608E-5,M,0.6593246731205707
1237657190902858686,354.656323761915,-0.175622551303393,0.15752481681558,0.101259983948455,0.897108,0.053636,1,21.31218,24.38657,21.96966,20.26073,19.18041,0.5719786,0.4454614,0.1770611,0.09161086,0.1076067,0.1605755,0.1251194,0.08655699,0.06432112,0.0478431,1237657190902858686,354.65632,-0.17562255,0.7688277,0.0001932169,197.7122,44.65165,null,BOSS,eboss,eboss,GALAXY,null,null,null,null,null,null,354.65632,-0.17562255,0.7688277,-15.1214517305099,4.23694276809692,5.25554770298294,-6.81336212158203,0.7688277,0.7688277,6605760132918472704,1237657190902858686,0.7688277,12.1977740504029,0.120831541405927,12.23815650653,12.4476162897619,12.335676362065,3618,3533,354.6555246320915,1.1545287584320946E-5,-0.17485389360608602,1.5593588255358837E-5,8.290053588579394E-4,1.8197623730015806E-5,6.478320317348232E-4,8.832175032104746E-6,354.6555246320915,1.1545287584320946E-5,-0.17485389360608602,1.5593588255358837E-5,0.002538077492053804,3.812328092458703E-5,0.00203488666398094,2.518055639183331E-5,159.0264477150111,2.810343877941864,0.002537747973575787,3.812328092458703E-5,0.0020345795466325976,2.518055639183331E-5,159.02260755210682,2.810343877941864,0.0013624826903598812,3.812328092458703E-5,7.040587522966244E-4,2.518055639183331E-5,137.3777443987325,2.810343877941864,0.0013621711365771369,3.812328092458703E-5,7.040220944143192E-4,2.518055639183331E-5,137.3739042358282,2.810343877941864,0.00213262159039413,3.193881097157133E-5,8.475052709400188E-6,9.269765399722019E-9,1.047712612489704E-5,3.2583135180175304E-5,C,3.991679540097928
1237657191976927551,355.342661374267,0.693743461776454,0.103948171803471,0.108466105060188,0.440834,0.126654,1,19.98281,20.40123,19.70383,18.87075,18.89981,0.2613768,0.05939591,0.04625186,0.03762548,0.3115929,0.1233103,0.09608256,0.06646947,0.04939394,0.03674002,1237657191976927551,355.34266,0.69374187,0.6591465,9.101419E-05,132.3822,39.71556,null,BOSS,boss,boss,GALAXY,null,null,null,null,null,null,355.34266,0.69374187,0.6591465,-1.97218977521757,5.93695545196533,5.0517756248166,-2.37662315368652,0.6591465,0.6591465,6720588180108275712,1237657191976927551,0.6591465,11.9985664892001,0.0984603495956913,11.9534535297295,12.1434151220126,12.0480917812051,3187,3124,355.34286112232303,1.1595484850289525E-4,0.6940037428161642,1.6793026885699523E-4,1.640063405537185E-4,3.070125808702145E-5,9.80383595886205E-5,1.2336872956981373E-5,355.34286112232303,1.1595484850289525E-4,0.6940037428161642,1.6793026885699523E-4,0.0029111503517426805,3.989318452211729E-4,0.0023187750504879913,2.6794315191738566E-4,10.232106968921778,25.605901174481716,0.0029110568605304867,3.989318452211729E-4,0.002318687163725239,2.6794315191738566E-4,10.239044070488518,25.605901174481716,0.001928799648289739,3.989318452211729E-4,0.001379205471386286,2.6794315191738566E-4,22.07968254654503,25.605901174481716,0.0019287101933628229,3.989318452211729E-4,0.0013791728696098265,2.6794315191738566E-4,22.086619648111768,25.605901174481716,1.2968640218479657E-4,1.6616036320568804E-5,1.1497557352413423E-5,-1.189223780784232E-6,2.6125317162950523E-6,-1.2048190001223702E-6,S,1.181105379489317
1237663784195719621,356.156722099389,0.169280420627892,0.0866001183702032,0.0639943501685871,0.57853,0.043421,1,21.70754,21.68332,19.89487,19.42838,19.15731,0.2820147,0.1731287,0.07196542,0.04133165,0.1063946,0.1244992,0.09700892,0.06711032,0.04987016,0.03709424,1237663784195719621,356.15672,0.16927907,0.5638898,0.0002454674,300.1613,79.33343,null,BOSS,boss,boss,GALAXY,null,null,null,null,null,null,356.15672,0.16927907,0.5638898,-1.5855760852801,4.63774251937866,4.96840762643122,-1.90621316432953,0.5638898,0.5638898,5369486574227222528,1237663784195719621,0.5638898,11.5281002892035,0.111782340074429,11.5931948456579,11.7857273947427,11.6886046010373,1248,1208,356.1572810717292,1.6114243144217137E-4,0.16922374094733086,1.5663338015198337E-4,9.575286152312744E-5,2.342923956746896E-5,6.88106655231533E-5,1.0773403746837119E-5,356.1572810717292,1.6114243144217137E-4,0.16922374094733086,1.5663338015198337E-4,0.0024925713288053097,4.071262276033132E-4,0.0022525905032751508,3.3806103601119876E-4,49.440711325205825,66.35462308130548,0.002492539657096649,4.071262276033132E-4,0.002252590094921763,3.3806103601119876E-4,49.43999609739342,66.35462308130548,0.0016221287631394926,4.071262276033132E-4,6.535722590643437E-4,3.3806103601119876E-4,71.80250308336981,66.35462308130548,0.0016221093604713082,4.071262276033132E-4,6.535716536035946E-4,3.3806103601119876E-4,71.80178785555741,66.35462308130548,6.923896526842106E-5,1.1524452218180688E-5,1.0142390237888321E-5,-2.3057241378410254E-6,1.7883166947285645E-6,-2.296241746080341E-6,S,2.022610387748189
1237657190903251303,355.556339499686,-0.00175875095739487,0.0128326223645249,0.0123141570874243,0.348092,0.075743,1,20.93612,20.63274,19.88405,19.48937,18.91412,0.0997994,0.03003883,0.02482309,0.02352746,0.05899099,0.1098814,0.08561884,0.05923072,0.04401477,0.0327389,1237657190903251303,355.55634,-0.00176084,0.3184772,3.682493E-05,0,0,BROADLINE,BOSS,boss,boss,QSO,null,null,null,null,null,null,355.55634,-0.00176084,0.3186348,-9.94659988100195,6.92320966720581,7.81882248698549,-3.51050233840942,0.3186348,0.3184772,7268919306334433280,1237657190903251303,0.3186348,11.5643146260702,0.0457663521551373,11.5866287109571,11.6601990586924,11.6198411550657,2836,2778,355.55664524393353,1.5208950268448703E-4,-0.001418624747300581,2.3263532706313818E-4,6.558546431292099E-5,2.0371286919261836E-5,6.181978537797694E-5,1.0808080054582799E-5,355.55664524393353,1.5208950268448703E-4,-0.001418624747300581,2.3263532706313818E-4,0.0027182272122268825,6.19470957215369E-4,0.001574847149803352,2.112250075519349E-4,29.77846425145717,16.358565493643855,0.00271822218479986,6.19470957215369E-4,0.0015747927094671486,2.112250075519349E-4,29.77845666864043,16.358565493643855,0.0017526630163493347,6.19470957215369E-4,0.0,2.112250075519349E-4,39.30868905253149,16.358565493643855,0.001752662779321488,6.19470957215369E-4,0.0,2.112250075519349E-4,39.308681469714756,16.358565493643855,4.507027482149696E-5,1.2605434555768702E-5,1.126056940847775E-5,-1.5537626723016729E-6,1.2984729664822225E-6,-1.5419079772982514E-6,S,1.6464456784195423
1237663783122174907,356.62989710545,-0.699488394819743,0.0607440102923988,0.0619515108821145,0.569346,0.037992,1,26.46797,22.21847,20.72356,19.58802,19.88246,0.4456932,0.2802424,0.07840738,0.03863496,0.1126496,0.1672122,0.1302906,0.09013446,0.06697956,0.04982049,1237663783122174907,356.6299,-0.69949047,0.5645682,0.0001452499,198.2707,37.50716,null,BOSS,boss,boss,GALAXY,null,null,null,null,null,null,356.6299,-0.69949047,0.5645682,-12.4563250818203,6.10444593429565,6.38047460634183,-2.73525619506836,0.5645682,0.5645682,5235474518873141248,1237663783122174907,0.5645682,11.9048650658845,0.108538291673784,11.7043231736663,11.9035976691158,11.8087021155269,312,301,356.6302106292993,1.7942725035795034E-4,-0.6993245447350406,2.404522544650832E-4,1.1385147806908222E-4,2.495566723594993E-5,5.182888227089027E-5,8.182453927503522E-6,356.6302106292993,1.7942725035795034E-4,-0.6993245447350406,2.404522544650832E-4,0.0034750384572522163,6.046765957388576E-4,0.0025511704033345374,3.654259352443429E-4,153.86909171956842,25.16289820800192,0.0034748413189752735,6.046765957388576E-4,0.0025507041972061876,3.654259352443429E-4,153.87781451596277,25.16289820800192,0.002733589705356364,6.046765957388576E-4,0.0016974288503007068,3.654259352443429E-4,146.60613706646126,25.16289820800192,0.002733498935553144,6.046765957388576E-4,0.001697078745614523,3.654259352443429E-4,146.6148598628556,25.16289820800192,8.454994504335357E-5,1.2100708197021792E-5,7.643606295459904E-6,1.9483320556901162E-7,2.0509594378381735E-6,2.2307943936539232E-7,S,1.2734508729099163
1237678595940745418,354.919862265707,1.41545800439171,0.00932803778718202,0.0119771511681768,0.202447,0.01067,1,19.24739,18.92466,17.5127,17.02421,16.71992,0.2513553,0.0152065,0.00741822,0.006822899,0.01555794,0.1759606,0.1371073,0.0948502,0.07048386,0.05242705,1237678595940745418,354.91986,1.4154538,0.1889986,2.986649E-05,219.5655,12.63471,BROADLINE,BOSS,boss,boss,GALAXY,null,null,null,null,null,null,354.91986,1.4154538,0.1889986,-2.6501111042352,7.51223564147949,8.1750951121849,-2.3632185459137,0.1889986,0.1889986,1366849129795315712,1237678595940745418,0.1889986,11.4624684453875,0.0363799181376453,11.4355113939696,11.5077741604164,11.4710321678014,3542,3454,354.9201040111906,1.552051744330284E-5,1.415530566097761,1.5645553775625498E-5,6.945725698520309E-4,2.726742562903821E-5,4.972939972176221E-4,7.4585977927199565E-6,354.9203161493564,1.552051744330284E-5,1.415276647726508,1.5645553775625498E-5,0.002565673077632948,4.560161788317858E-5,0.0018662991090536089,2.4771308970656037E-5,134.55308669984183,2.2830925872434564,0.0025656719954077374,4.560161788317858E-5,0.001865683964148047,2.4771308970656037E-5,134.57768084968262,2.2830925872434564,0.001610118370009996,4.560161788317858E-5,0.0,2.4771308970656037E-5,120.27902100544631,2.2830925872434564,0.001610094528463516,4.560161788317858E-5,0.0,2.4771308970656037E-5,120.3036151552871,2.2830925872434564,5.771122347911141E-4,1.551851366886605E-5,7.4585977927199565E-6,-2.917929577961331E-7,5.293200047162827E-6,-6.710361617479066E-7,M,0.9083879259946869
1237666407366657041,355.358961979848,-0.544638908920087,0.123795041310143,0.266628944020123,0.726755,0.061184,0,20.89758,22.37538,21.83706,20.52922,19.68728,0.6208489,0.3989695,0.2172048,0.09703317,0.205471,0.1412964,0.1100972,0.07616476,0.05659858,0.04209894,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,355.35896,-0.54463891,0.7189439,-15.5976368504812,5.02441310882568,5.92627707218406,-15.8611431121826,0.7189439,0.7186431,6457236452065079296,1237666407366657041,0.7189439,12.3368156773552,0.0913052606508201,12.392879067777,12.5692091863612,12.4777127767526,3168,3106,355.3592530970249,3.9244023679489114E-5,-0.5445222052353383,7.578177615601614E-5,3.4049648747458866E-4,2.6134224841711666E-5,2.1320180124066935E-4,1.0779748299503777E-5,355.3592530970249,3.9244023679489114E-5,-0.5445222052353383,7.578177615601614E-5,0.003057929258898688,1.7850886467929086E-4,0.0021076268817547834,9.229897510267787E-5,178.27421479454065,6.765623977439259,0.0030575588686851236,1.7850886467929086E-4,0.002107536878582148,9.229897510267787E-5,178.26893074790553,6.765623977439259,0.0021054149009960693,1.7850886467929086E-4,0.0010631286224107527,9.229897510267787E-5,179.02079608865427,6.765623977439259,0.002105163856512403,1.7850886467929086E-4,0.001063081216594631,9.229897510267787E-5,179.01551204201914,6.765623977439259,3.2032844069273365E-4,1.532000764109903E-5,1.0235108675260562E-5,-7.254616321006324E-7,5.140469966136152E-6,-5.832495730828668E-7,S,1.129053811603529
1237663784195588295,355.947051273968,0.181440973098656,0.0104197990206683,0.00900168736587917,0.294644,0.031789,1,20.60206,20.40034,19.07224,18.52113,18.19187,0.3215831,0.03429874,0.01543947,0.01295054,0.03250014,0.1188405,0.09259973,0.06406006,0.04760349,0.03540825,1237663784195588295,355.94705,0.18144099,0.2719984,4.199237E-05,201.7814,14.78948,null,BOSS,eboss,eboss,GALAXY,null,null,null,null,null,null,355.94705,0.18144099,0.2719984,-14.5305624067735,7.58762502670288,8.89497320324243,-3.83310079574585,0.2719984,0.2719984,6410994295444795392,1237663784195588295,0.2719984,11.4840571100936,0.0327021975891432,11.492834282872,11.55250002323,11.5215527027645,1794,1739,355.9472671523655,1.802660147640355E-5,0.18162720109131417,3.0407993153251908E-5,4.3243986422367923E-4,2.0626767825723255E-5,4.286404877293864E-4,1.1705184783525331E-5,355.9472671523655,1.802660147640355E-5,0.18162720109131417,3.0407993153251908E-5,0.002301597227345622,7.165738219230055E-5,0.0017686137195595186,4.236152084767628E-5,2.7075462981839715,4.739337444653359,0.002301589282410807,7.165738219230055E-5,0.0017686135542671563,4.236152084767628E-5,2.7074452183992435,4.739337444653359,0.0,7.165738219230055E-5,0.0,4.236152084767628E-5,0.0,4.739337444653359,0.0,7.165738219230055E-5,0.0,4.236152084767628E-5,0.0,4.739337444653359,4.819750636649872E-4,1.6465900311234878E-5,1.1832046766357962E-5,-2.8627048322960036E-6,1.7784139345167205E-5,1.587861515872646E-5,S,1.0263718058828615
